"keyCol","valueCol"
"energy","calories"
"protein","gram"
"carbohydrate","gram"
"sugars","gram"
"total_lipid_fat","gram"
"fatty_acids_total_saturated","gram"
"cholesterol","miliGram"
"sodium","miliGram"
"fiber_total_dietary","gram"
"water","gram"
"vitamin_a","microGram"
"vitamin_b","miliGram"
"vitamin_b1","miliGram"
"vitamin_b2","miliGram"
"vitamin_b3","miliGram"
"vitamin_b5","miliGram"
"vitamin_b6","miliGram"
"vitamin_b7","microGram"
"vitamin_b9_folic_acid","microGram"
"vitamin_c","miliGram"
"vitamin_e","miliGram"
"vitamin_k","microGram"
"calcium","miliGram"
"iron","miliGram"
"magnesium","miliGram"
"phosphorus","miliGram"
"zinc","miliGram"
"potassium","miliGram"
"polyunsaturated","gram"
"omega3","gram"
"omega6","gram"
"monounsaturated","gram"
"omega9","gram"
"vitamin_b12","microGram"
"vitamin_d","microGram"
"choline","miliGram"
"vitamin_b7","microGram"
"lycopene","miliGram"
"chloride","gram"
"chromium","microGram"
"copper","microGram"
"fluoride","miliGram"
"iodine","microGram"
"manganese","microGram"
"molybdenum","microGram"
"selenium","microGram"
