"energy","protein","carbohydrate","sugars","total_lipid_fat","fatty_acids_total_saturated","cholesterol","sodium","fiber_total_dietary","water","vitamin_a","vitamin_b","vitamin_b1","vitamin_b2","vitamin_b3","vitamin_b4","vitamin_b5","vitamin_b6","vitamin_b7","vitamin_b9_folic_acid","vitamin_b12","vitamin_c","vitamin_d","vitamin_e","vitamin_k","calcium","iron","magnesium","phosphorus","zinc","potassium","polyunsaturated","omega3","omega6","monounsaturated","omega9","lycopene","itemName","_isExt"
"40","1.1","9.34","4.24","0.1","0.042","0","0.004","1.7","89.1","-1000","0.000451","0.000046","0.000027","0.000116","-1000","0.000123","0.00012","-1000","0.000019","-1000","0.0074","-1000","0.00002","0.0000004","0.023","0.00021","0.01","0.029","0.00017","0.146","0.017","0.004","0.013","0.013","0.013","-1000","  בצל לבן","0"
"160","2","8.53","0.66","14.66","2.126","0","0.007","6.7","73.25","0.000007","0.003662","0.000067","0.00013","0.001738","-1000","0.001389","0.000257","-1000","0.000081","-1000","0.01","-1000","0.00207","0.000021","0.012","0.00055","0.029","0.052","0.00064","0.485","1.816","0.125","1.674","9.799","9.066","-1000","אבוקדו","0"
"713","14","12","2.3","66","15","0","0","7.5","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","אגוזי ברזיל","0"
"628","14.95","16.7","4.34","60.75","4.464","0","0","9.7","5.31","0.000001","0.00415","0.000643","0.000113","0.0018","-1000","0.000918","0.000563","-1000","0.000113","-1000","0.0063","-1000","0.01503","0.0000142","0.114","0.0047","0.163","0.29","0.00245","0.68","7.92","0.087","7.833","45.652","45.405","-1000","אגוזי לוז","0"
"654","15.23","13.71","2.61","65.21","6.126","0","0.002","6.7","4.07","0.000001","0.002821","0.000341","0.00015","0.001125","-1000","0.00057","0.000537","-1000","0.000098","-1000","0.0013","-1000","0.0007","0.0000027","0.098","0.00291","0.158","0.346","0.00309","0.441","47.174","9.08","38.093","8.933","8.799","-1000","אגוזי מלך","0"
"58","0.382","15.469","9.8","0.12","0.006","0","0.001","3.1","83.75","0.000001","0.000277","0.000012","0.000025","0.000157","-1000","0.000048","0.000028","-1000","0.000007","-1000","0.0042","-1000","0.00012","0.0000045","0.009","0.00017","0.007","0.011","0.0001","0.119","0.029","-1000","0.029","0.026","0.025","-1000","אגס","0"
"108","3.4","23.4","0","0.57","0","0","0.543","0.58","-1000","0.000002","0.00202","0.0001","0.000025","0.0017","-1000","-1000","0.00014","-1000","0.000055","0","0","0.00000032","0.00002","0.0000007","0.0115","0.0008","0.043","0.082","0.0006","0.05","-1000","-1000","0.014","-1000","0.32","-1000","אורז פרא מיקס מבושל","0"
"50","0.54","13.12","9.85","0.12","0.009","0","0.001","1.4","86","0.000003","0.000954","0.000079","0.000032","0.0005","-1000","0.000213","0.000112","-1000","0.000018","-1000","0.0478","-1000","0.00002","0.0007","0.013","0.00029","0.012","0.008","0.00012","0.109","0.04","0.017","0.023","0.013","0.012","-1000","אננס","1"
"84","5.36","15.63","5.93","0.22","0.039","0","0.003","5.5","77.85","0.00004","0.002861","0.000259","0.000149","0.002021","-1000","0.000153","0.000216","-1000","0.000063","-1000","0.0142","-1000","0.00014","0.0000259","0.027","0.00154","0.039","0.117","0.00119","0.271","0.102","0.019","0.082","0.019","0.019","-1000","אפונה מבושלת","0"
"271","6.24","40","1.5","9.61","0.85","0.01668","2.221","0.32","27.12","0.00000717","0.0001","0","0.00002","0","-1000","0.00007","0.00001","-1000","0.00000211","0.00000004","-1000","0.00000009","0.00005","0.00000001","0.0492","0.00008","0.00078","0.00888","0.00006","0.02841","0.09","0","0.07","0.16","0.15","-1000","בייגל ביתי","0"
"43","0.46","3.55","0","0","-1000","0","0.004","-1000","91.96","-1000","0.000636","0.000005","0.000025","0.000513","-1000","0.000041","0.000046","-1000","0.000006","0.00000002","-1000","-1000","-1000","-1000","0.004","0.00002","0.006","0.014","0.00001","0.027","-1000","-1000","-1000","-1000","-1000","-1000","בירה","0"
"89","1.09","22.84","12.23","0.33","0.112","0","0.001","2.6","74.9","0.000003","0.00149","0.000031","0.000073","0.000665","-1000","0.000334","0.000367","-1000","0.00002","-1000","0.0087","-1000","0.0001","0.0000005","0.005","0.000259","0.027","0.022","0.00015","0.358","0.073","0.027","0.046","0.032","0.022","-1000","בננה","0"
"66","2.79","7","1.61","3.82","0.52","-1000","0.26747","2.48","84.85","0.00002896","0.0016","0.00007","0.00011","0.00061","-1000","0.00055","0.00019","-1000","0.00005893","-1000","0.08409","-1000","0.00123","0.00009704","0.04833","0.00074","0.02022","0.06537","0.00041","0.30497","0.41","0.05","0.36","2.54","2.48","-1000","ברוקולי בשמן זית לימון ושום  מתכון","0"
"68","2.55","14.32","8.92","0.95","0.272","0","0.002","5.4","80.8","0.000031","0.001801","0.000067","0.00004","0.001084","-1000","0.000451","0.00011","-1000","0.000049","-1000","0.2283","-1000","0.00073","0.0000026","0.018","0.00026","0.022","0.04","0.00023","0.417","0.4","0.112","0.288","0.087","0.082","0.005204","גויאבה","0"
"41","0.93","9.58","4.74","0.24","0.037","0","0.069","2.8","88.3","0.000835","0.001537","0.000066","0.000058","0.000983","-1000","0.000273","0.000138","-1000","0.000019","-1000","0.0059","-1000","0.00066","0.0000132","0.033","0.0003","0.012","0.035","0.00024","0.32","0.117","0.002","0.115","0.014","0.012","0.000001","גזר","0"
"164","8.86","27.42","4.8","2.59","0.269","0","0.007","7.6","60.21","0.000001","0.001302","0.000116","0.000063","0.000526","-1000","0.000286","0.000139","-1000","0.000172","-1000","0.0013","-1000","0.00035","0.000004","0.049","0.00289","0.048","0.168","0.00153","0.291","1.156","0.043","1.113","0.583","0.578","-1000","גרגירי חומוס מבושלים","0"
"397","15.12","54","0.27","14.39","1.32","-1000","0.01034","7.72","11.06","0.00000029","0.00257","0.00048","0.00013","0.00109","-1000","0.00074","0.0001","-1000","0.00003623","-1000","0.00006","-1000","0.0013","0.00000021","0.06711","0.0031","0.1448","0.32059","0.00332","0.3748","4.11","1.18","2.93","3.54","3.51","-1000","גרנולה תענוג של רפאלס  מתכון","0"
"567","26","14.5","-1000","45","5","0","0.044","4","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","-1000","גרעיני דלעת טבעיים קלופים","0"
"584","20.8","20","2.6","51.5","4.5","0","0.009","8.6","-1000","0.000003","0.012827","0.0015","0.0004","0.0083","-1000","0.0011","0.0013","-1000","0.000227","0","-1000","0","0.0352","0","0.078","0.0053","0.325","0.645","0.005","0.645","23.137","0.028","23","18.5","-1000","-1000","גרעיני חמניה קלופים טבעיים","0"
"88","5.99","15","2.35","0.86","0.09","-1000","0.33344","5.46","76.65","0.00000882","0.00168","0.00012","0.00005","0.0008","-1000","0.00043","0.00015","-1000","0.00011849","-1000","0.00477","-1000","0.00019","0.00000297","0.01823","0.0022","0.02651","0.12198","0.00086","0.30404","0.13","0.02","0.11","0.05","0.05","0.00054","דאל עדשים כתומות שלי  מתכון","0"
