"eng_name","heb_name","category"
"calories","קלוריות","wunits"
"microGram","מק""ג","wunits"
"miliGram","מ""ג","wunits"
"gram","גרם","wunits"
"tspn","כפיות סוכר","wunits"
"energy","אנרגיה","nutrition"
"protein","חלבונים","nutrition"
"carbohydrate","פחמימות","nutrition"
"sugars","מתוכן סוכרים","nutrition"
"total_lipid_fat","שומנים","nutrition"
"fatty_acids_total_saturated","מתוכם שומן רווי","nutrition"
"cholesterol","כולסטרול","nutrition"
"sodium","נתרן","nutrition"
"fiber_total_dietary","סיבים תזונתיים","nutrition"
"water","מים","nutrition"
"vitamin_a","ויטמין A","nutrition"
"vitamin_b","סה""כ ויטמין B","nutrition"
"vitamin_b1","ויטמין B1","nutrition"
"vitamin_b2","ויטמין B2","nutrition"
"vitamin_b3","ויטמין B3 - ניאצין","nutrition"
"vitamin_b4","כולין","nutrition"
"vitamin_b5","ויטמין B5","nutrition"
"vitamin_b6","ויטמין B6","nutrition"
"vitamin_b7","ויטמין B7","nutrition"
"vitamin_b9_folic_acid","חומצה פולית - ויטמין B9","nutrition"
"vitamin_b12","ויטמין B12","nutrition"
"vitamin_c","ויטמין C","nutrition"
"vitamin_d","ויטמין D","nutrition"
"vitamin_e","ויטמין E","nutrition"
"vitamin_k","ויטמין K","nutrition"
"calcium","סידן","nutrition"
"iron","ברזל","nutrition"
"magnesium","מגנזיום","nutrition"
"phosphorus","זרחן","nutrition"
"zinc","אבץ","nutrition"
"potassium","אשלגן","nutrition"
"polyunsaturated","חומצות שומן רב בלתי רוויות","nutrition"
"omega3","חומצה אלפא לינולנית-אומגה 3","nutrition"
"omega6","חומצה לינולאית-אומגה 6","nutrition"
"monounsaturated","חומצות שומן חד בלתי רוויות","nutrition"
"omega9","חומצת שומן אולאית-אומגה 9","nutrition"
"lycopene","ליקופן","nutrition"
