"item_name","url","description"
"חסה ערבית","https://www.foodsdictionary.co.il/Products/1/%25D7%2597%25D7%25A1%25D7%2594%2520%25D7%25A2%25D7%25A8%25D7%2591%25D7%2599%25D7%25AA&sa=U&ved=2ahUKEwiIgofb5oSCAxXerZUCHWPsCoUQFnoECAEQAg&usg=AOvVaw3vybYpP8t638PObQ4b2KZQ","ערך תזונתי של חסה ערבית, ערכים תזונתיים - FoodsDictionary"
"חזה עוף מבושל-צלוי","https://www.foodsdictionary.co.il/Products/1/%25D7%2597%25D7%2596%25D7%2594%2520%25D7%25A2%25D7%2595%25D7%25A3%2520%25D7%259E%25D7%2591%25D7%2595%25D7%25A9%25D7%259C-%25D7%25A6%25D7%259C%25D7%2595%25D7%2599&sa=U&ved=2ahUKEwjmr9vC8YyCAxW2cmwGHSS3CikQFnoECA","ערך תזונתי של חזה עוף מבושל-צלוי, ערכים תזונתיים - FoodsDictionary"
"מלפפון עם קליפה","https://www.foodsdictionary.co.il/Products/1/%25D7%259E%25D7%259C%25D7%25A4%25D7%25A4%25D7%2595%25D7%259F%2520%25D7%25A2%25D7%259D%2520%25D7%25A7%25D7%259C%25D7%2599%25D7%25A4%25D7%2594&sa=U&ved=2ahUKEwjf9e2p9Y6CAxUKbvUHHX4gA5kQFnoECAQQAg&usg=AOvVaw0UzQxF","ערך תזונתי של מלפפון עם קליפה, ערכים תזונתיים - FoodsDictionary"
"עגבניות שרי","https://www.foodsdictionary.co.il/Products/1/%25D7%25A2%25D7%2592%25D7%2591%25D7%25A0%25D7%2599%25D7%2595%25D7%25AA%2520%25D7%25A9%25D7%25A8%25D7%2599&sa=U&ved=2ahUKEwjpl8XH9Y6CAxWqcPUHHWZCAYoQFnoECAgQAg&usg=AOvVaw2hcon5oPegwvLJ7pDeggOv","ערך תזונתי של עגבניות שרי, ערכים תזונתיים - FoodsDictionary"
"צנון - צנונית","https://www.foodsdictionary.co.il/Products/1/%25D7%25A6%25D7%25A0%25D7%2595%25D7%259F%2520-%2520%25D7%25A6%25D7%25A0%25D7%2595%25D7%25A0%25D7%2599%25D7%25AA&sa=U&ved=2ahUKEwjWvfDO9Y6CAxX5afUHHQYPA0QQFnoECAUQAg&usg=AOvVaw0dG8iLUfcWacfr47EmXo8r","ערך תזונתי של צנון טרי - צנונית טריה, ערכים תזונתיים - FoodsDictionary"
"פטרוזיליה","https://www.foodsdictionary.co.il/Products/1/%25D7%25A4%25D7%2598%25D7%25A8%25D7%2595%25D7%2596%25D7%2599%25D7%259C%25D7%2599%25D7%2594&sa=U&ved=2ahUKEwjat6zb9Y6CAxWhZ_UHHSx7CWIQFnoECAQQAg&usg=AOvVaw3rr-O3fMvctDfJGagbPE5X","ערך תזונתי של פטרוזיליה, ערכים תזונתיים - FoodsDictionary"
"כוסברה","https://www.foodsdictionary.co.il/Products/1/%25D7%259B%25D7%2595%25D7%25A1%25D7%2591%25D7%25A8%25D7%2594&sa=U&ved=2ahUKEwjh0szg9Y6CAxUiZfUHHZ8OBk8QFnoECAQQAg&usg=AOvVaw12GegtsOGkhO3xHmM_GyM0","ערך תזונתי של כוסברה, ערכים תזונתיים - FoodsDictionary"
"  בצל לבן","https://www.foodsdictionary.co.il/Products/1/%25D7%2591%25D7%25A6%25D7%259C&sa=U&ved=2ahUKEwi2msjk9Y6CAxUXG4gKHejHB8IQFnoECAgQAg&usg=AOvVaw0495jyQvl7bOVcuGo_6_B_","ערך תזונתי של בצל טרי, ערכים תזונתיים - FoodsDictionary"
"סלק מבושל","https://www.foodsdictionary.co.il/Products/1/%25D7%25A1%25D7%259C%25D7%25A7%2520%25D7%259E%25D7%2591%25D7%2595%25D7%25A9%25D7%259C&sa=U&ved=2ahUKEwiAocrx9Y6CAxWMGIgKHaXwDSIQFnoECAkQAg&usg=AOvVaw0L-wIRNFSMm6TMBm4nGzza","ערך תזונתי של סלק מבושל, ערכים תזונתיים - FoodsDictionary"
"עדשים מבושלות","https://www.foodsdictionary.co.il/Products/1/%25D7%25A2%25D7%2593%25D7%25A9%25D7%2599%25D7%259D%2520%25D7%259E%25D7%2591%25D7%2595%25D7%25A9%25D7%259C%25D7%2595%25D7%25AA%2520%25D7%259C%25D7%259C%25D7%2590%2520%25D7%259E%25D7%259C%25D7%2597&sa=U&ved=2ahUK","ערך תזונתי של עדשים מבושלות ללא מלח, ערכים תזונתיים - FoodsDictionary"
